name,molweight,boiling point (K),type
"2,3-dimethyl-1-pentanol",116.20344,437.15,alcohol
"2,3-dimethyl-2,3-butanediol",118.17596,445.95,alcohol
"2,3-dimethyl-2,3-pentanediol",132.20284,525.85,alcohol
"2,3-dimethyl-2-butanethiol",118.24316,407.26,alcohol
"2,3-dimethyl-2-butanol",102.17656,391.75,alcohol
"2,3-dimethyl-2-ethyl-1-butanol",130.23032,446,alcohol
"2,3-dimethyl-2-heptanol",144.2572,455,alcohol
"2,3-dimethyl-2-hexanol",130.23032,433.25,alcohol
"2,3-dimethyl-2-pentanol",116.20344,412.15,alcohol
"2,3-dimethyl-2-tert-butyl-1-butanol",158.28408,466,alcohol
"2,3-dimethyl-3-ethyl-2-pentanol",144.2572,461,alcohol
"2,3-dimethyl-3-heptanol",144.2572,447.15,alcohol
"2,3-dimethyl-3-hexanol",130.23032,431.35,alcohol
"2,3-dimethyl-3-octanol",158.28408,462.25,alcohol
"2,3-dimethyl-3-pentanol",116.20344,413.15,alcohol
"2,3-dimethyl-4-ethylphenol",150.22056,510,alcohol
"2,3-dimethyl-5-ethylphenol",150.22056,510,alcohol
"2,3-dimethyl-6-ethylphenol",150.22056,510,alcohol
"2,3-dimethylthiophenol",138.2334,489.45,alcohol
"2,3-xylenol",122.1668,490.07,alcohol
"2,4,4,5-tetramethyl-3-hexanol",158.28408,475,alcohol
"2,4,4-trimethyl-1-pentanol",130.23032,444.15,alcohol
"2,4,4-trimethyl-2-hexanol",144.2572,466,alcohol
"2,4,4-trimethyl-2-pentanol",130.23032,419.55,alcohol
"2,4,4-trimethyl-3-hexanol",144.2572,444.15,alcohol
"2,4,5-trimethyl-2-hexanol",144.2572,466,alcohol
"2,4,5-trimethyl-4-heptanol",158.28408,455,alcohol
"2,4,5-trimethylphenol",136.19368,508.55,alcohol
"2,4,6-trimethyl-2-heptanol",158.28408,466,alcohol
"2,4,6-trimethyl-4-heptanol",158.28408,455.15,alcohol
"2,4,6-trimethylphenol",136.19368,493.95,alcohol
"2,4-bis(1-methylethyl)phenol",178.27432,524.28,alcohol
"2,4-di-tert-butyl-5-methylphenol",220.35496,555.15,alcohol
"2,4-di-tert-butyl-6-methylphenol",220.35496,542.15,alcohol
"2,4-di-tert-butylphenol",206.32808,536.65,alcohol
"2,4-diethylphenol",150.22056,501.15,alcohol
"2,4-dimethyl-1-hexanol",130.23032,448.15,alcohol
"2,4-dimethyl-1-pentanol",116.20344,432.15,alcohol
"2,4-dimethyl-2,3-pentanediol",132.20284,459.15,alcohol
"2,4-dimethyl-2,4-pentanediol",132.20284,470,alcohol
(R)-(-)-sec-butylamine,73.13808,333.15,amine
(R)-2-heptylamine,115.21872,416.15,amine
(S)-(+)-sec-butylamine,73.13808,335.1,amine
(S)-(-)-2-methylbutylamine,87.16496,354.02,amine
(S)-2-heptylamine,115.21872,416.15,amine
"1,1-dimethylpropylamine",87.16496,350.15,amine
"1,2-dimethylpropylamine",87.16496,357.15,amine
"1,2-propanediamine",74.12588,392.45,amine
"1,3,5-triazine-2,4,6-triamine",126.12108,704,amine
"1,3-butanediamine",88.15276,419.15,amine
"1,3-propanediamine",74.12588,410.15,amine
"1,4-butanediamine",88.15276,431.65,amine
"1,5-pentanediamine",102.17964,452.15,amine
1-dimethylamino-2-propylamine,102.17964,385.65,amine
1-methylbutylamine,87.16496,364.85,amine
"2,2-dimethyl-1,3-propanediamine",102.17964,426.15,amine
"2,2-dimethylpropylamine",87.16496,350.15,amine
"2,4-dimethyl-2-pentanamine",115.21872,395.15,amine
2-ethylhexylamine,129.2456,442.35,amine
2-heptanamine,115.21872,415.15,amine
"2-methyl-1,2-propanediamine",88.15276,396.15,amine
"2-methyl-1,3-benzenediamine",122.16988,557,amine
"2-methyl-2,4-pentanediamine",116.20652,429.24,amine
2-methylbutylamine,87.16496,368.65,amine
3-(methylamino)propylamine,88.15276,413.15,amine
3-dimethylamino-1-propylamine,102.17964,406.65,amine
3-methyl-1-hexanamine,115.21872,422.15,amine
3-methylbutylamine,87.16496,370.15,amine
3-methylcyclohexylamine,113.20284,423.15,amine
3-pentanamine,87.16496,362.15,amine
"4,4'-dinitrodiphenylamine",259.22128,709,amine
"4,4'-dinitrotriphenylamine",335.31904,743,amine
4-ethyl-1-methyloctylamine,171.32624,493.99,amine
4-heptanamine,115.21872,412.65,amine
4-methyl-1-hexylamine,115.21872,426.15,amine
4-methyl-2-hexanamine,115.21872,405.65,amine
4-methylcyclohexylamine,113.20284,425.65,amine
5-methyl-2-hexylamine,115.21872,397.47,amine
6-methyl-N-isopentyl-2-heptanamine,199.38,520.48,amine
"N,N'-di-tert-butylethylenediamine",172.31404,462.15,amine
"N,N'-diethyl-1,2-ethanediamine",116.20652,419.15,amine
"N,N'-dimethyl-1,2-ethanediamine",88.15276,393.15,amine
"N,N'-dimethyl-1,3-propanediamine",102.17964,418.15,amine
"N,N'-diphenyl-p-phenylenediamine",260.33852,772,amine
"N,N,N',N'-tetramethyl-1,2-ethanediamine",116.20652,394.15,amine
"N,N,N',N'-tetramethylmethanediamine",102.17964,356.15,amine
"N,N,N'-trimethyl-1,3-propanediamine",116.20652,414.15,amine
"N,N,N'-trimethylethylenediamine",102.17964,390.15,amine
"N,N-diallyl-2-propen-1-amine",137.22484,423.65,amine
"N,N-diethyl-1,2-ethanediamine",116.20652,417.15,amine
"N,N-diisopropylisobutylamine",157.29936,445,amine
"N,N-dimethyl-2-propanamine",87.16496,339.18,amine
"N,N-dimethylethylenediamine",88.15276,378.65,amine
N-(1-methylheptyl)-2-octanamine,241.46064,556.15,amine
N-allyl-2-propen-1-amine,97.16008,384.15,amine
N-aminoethyl ethanolamine,104.15216,517,amine
N-butylethylenediamine,116.20652,431.15,amine
"N-ethyl-1,2-ethanediamine",88.15276,402.15,amine
N-ethyl-2-methylallylamine,99.17596,377.9,amine
N-ethyl-N-hydroxyethanamine,89.13748,403.7,amine
N-ethyl-N-isopropyl-2-propanamine,129.2456,399.65,amine
N-ethyl-N-propyl-1-propanamine,129.2456,411.15,amine
"N-isopropyl-1,3-propanediamine",116.20652,435.15,amine
N-isopropyl-N-methyl-tert-butylamine,129.2456,400.15,amine
N-isopropylethylenediamine,102.17964,409.15,amine
N-methyl-2-heptanamine,129.2456,428.15,amine
N-methylcyclohexylamine,113.20284,422,amine
N-methyldibutylamine,143.27248,432.75,amine
N-methyldihexylamine,199.38,520.48,amine
"N-propyl-1,3-propanediamine",116.20652,442.15,amine
N-propylbutylamine,115.21872,406.65,amine
N-propylethylenediamine,102.17964,421.65,amine
N-tert-butylisopropylamine,115.21872,371.15,amine
allylamine,57.09532,326.45,amine
benzylamine,107.1552,457.65,amine
bis(2-ethylhexyl)amine,241.46064,554.25,amine
butylamine,73.13808,350.55,amine
cis-2-methylcyclohexylamine,113.20284,426.65,amine
cis-3-methylcyclohexylamine,113.20284,426.15,amine
cis-4-methylcyclohexylamine,113.20284,426.65,amine
cyclohexanemethanamine,113.20284,433.15,amine
cyclohexylamine,99.17596,407.65,amine
decylamine,157.29936,493.65,amine
dehydroabietylamine,285.47288,660,amine
di-propylamine,101.19184,382,amine
di-sec-butylamine,129.2456,407.15,amine
dibutylamine,129.2456,432,amine
dicyclohexylamine,181.32136,529,amine
didecylamine,297.56816,632.15,amine
didodecylamine,353.67568,676.15,amine
diethanolamine,105.13688,541.54,amine
diethylamine,73.13808,328.6,amine
diethylbutylamine,129.2456,409.15,amine
diethyldecylamine,213.40688,520.15,amine
diethyldodecylamine,241.46064,550.15,amine
diethyleicosylamine,353.67568,646.15,amine
diethylene triamine,103.16744,480.25,amine
diethylheneicosylamine,367.70256,656.15,amine
diethylheptadecylamine,311.59504,614.15,amine
diethylheptylamine,171.32624,471.15,amine
diethylhexadecylamine,297.56816,602.15,amine
diethylhexylamine,157.29936,452.15,amine
diethylisopropylamine,115.21872,381.65,amine
diethylnonadecylamine,339.6488,636.15,amine
diethylnonylamine,199.38,504.15,amine
diethyloctadecylamine,325.62192,625.15,amine
diethyloctylamine,185.35312,486.15,amine
diethylpentadecylamine,283.54128,590.15,amine
diethylpentylamine,143.27248,429.15,amine
diethylpropylamine,115.21872,385.15,amine
diethyltetradecylamine,269.5144,577.15,amine
diethyltridecylamine,255.48752,564.15,amine
diethylundecylamine,227.43376,536.15,amine
diheptylamine,213.40688,545.15,amine
dihexylamine,185.35312,512.95,amine
diisobutylamine,129.2456,412.25,amine
diisopentylamine,157.29936,461.15,amine
diisopropylamine,101.19184,357.05,amine
"dimethyl-1,1-dimethylpropylamine",115.21872,391.15,amine
"dimethyl-1,2-dimethylpropylamine",115.21872,390.5,amine
"dimethyl-2,2-dimethylpropylamine",115.21872,390.5,amine
dimethyl-2-methylbutylamine,115.21872,388,amine
dimethyl-2-pentylamine,115.21872,382.15,amine
dimethyl-3-methylbutylamine,115.21872,386.65,amine
dimethyl-3-pentylamine,115.21872,389.15,amine
dimethyl-propylamine,87.16496,339.15,amine
dimethyl-sec-butylamine,101.19184,367.15,amine
dimethyl-tert-butylamine,101.19184,363.15,amine
dimethylamine,45.08432,280.03,amine
dimethylbutylamine,101.19184,367.15,amine
dimethyldecylamine,185.35312,508.15,amine
dimethyldocosylamine,353.67568,673.15,amine
dimethyldodecylamine,213.40688,544.15,amine
dimethyleicosylamine,325.62192,652.15,amine
dimethylethanolamine,89.13748,407.15,amine
dimethylethylamine,73.13808,310.15,amine
dimethylheneicosylamine,339.6488,663.15,amine
dimethylheptadecylamine,283.54128,617.15,amine
dimethylheptylamine,143.27248,445.15,amine
dimethylhexadecylamine,269.5144,603.15,amine
dimethylhexylamine,129.2456,418.15,amine
dimethylisobutylamine,101.19184,354.15,amine
dimethylisopropylamine,87.16496,339.15,amine
dimethylnonadecylamine,311.59504,641.15,amine
dimethylnonylamine,171.32624,488.15,amine
dimethyloctadecylamine,297.56816,629.15,amine
dimethyloctylamine,157.29936,464.15,amine
dimethylpentadecylamine,255.48752,590.15,amine
dimethylpentylamine,115.21872,395.15,amine
dimethyltetradecylamine,241.46064,575.15,amine
dimethyltricosylamine,367.70256,683.15,amine
dimethyltridecylamine,227.43376,560.15,amine
dimethylundecylamine,199.38,526.15,amine
dinonylamine,269.5144,607.15,amine
dioctylamine,241.46064,580.81,amine
dipentylamine,157.29936,476.15,amine
diphenylamine,169.22608,575.15,amine
diundecylamine,325.62192,655.15,amine
docosylamine,325.62192,680.15,amine
dodecylamine,185.35312,532.35,amine
eicosylamine,297.56816,656.15,amine
ethyl-sec-butylamine,101.19184,371.15,amine
ethyl-tert-butylamine,101.19184,351.15,amine
ethylamine,45.08432,289.73,amine
ethylbutylamine,101.19184,381.15,amine
ethyldecylamine,185.35312,514.15,amine
ethyldocosylamine,353.67568,678.15,amine
ethyldodecylamine,213.40688,549.15,amine
ethyleicosylamine,325.62192,657.15,amine
ethylenediamine,60.099,390.41,amine
ethylheneicosylamine,339.6488,668.15,amine
ethylheptadecylamine,283.54128,621.15,amine
ethylheptylamine,143.27248,453.85,amine
ethylhexadecylamine,269.5144,608.15,amine
ethylhexylamine,129.2456,431.15,amine
ethylisobutylamine,101.19184,371.15,amine
ethylisopropylamine,87.16496,349.15,amine
ethylnonadecylamine,311.59504,646.15,amine
ethylnonylamine,171.32624,495.15,amine
ethyloctadecylamine,297.56816,634.15,amine
ethyloctylamine,157.29936,475.15,amine
ethylpentadecylamine,255.48752,595.15,amine
ethylpentylamine,115.21872,407.15,amine
ethylpropylamine,87.16496,353.45,amine
ethyltetradecylamine,241.46064,580.15,amine
ethyltricosylamine,367.70256,688.15,amine
ethyltridecylamine,227.43376,565.15,amine
ethylundecylamine,199.38,532.15,amine
heneicosylamine,311.59504,668.15,amine
heptadecylamine,255.48752,616.15,amine
heptylamine,115.21872,430.05,amine
hexadecylamine,241.46064,601.15,amine
hexamethylenediamine,116.20652,473,amine
hexylamine,101.19184,405.85,amine
hydroxylamine,33.02996,383,amine
isobutylamine,73.13808,340.88,amine
isopropylamine,59.1112,304.92,amine
isopropyloctadecylamine,311.59504,635.98,amine
m-phenylenediamine,108.143,560,amine
m-toluenediamine,122.16988,557.15,amine
(+)-a-pinene,136.23704,428.65,hydrocarbon
(+)-camphene,136.23704,432.65,hydrocarbon
(-)-a-pinene,136.23704,429.35,hydrocarbon
(-)-camphene,136.23704,439.95,hydrocarbon
"(1,1-dimethylbutyl)benzene",162.27492,478.65,hydrocarbon
(1-butylhexadecyl)benzene,358.65124,693.15,hydrocarbon
(1-ethyl-1-methylpropyl)benzene,162.27492,478.15,hydrocarbon
(1-ethylbutyl)benzene,162.27492,482.15,hydrocarbon
(1-ethyloctadecyl)benzene,358.65124,693.15,hydrocarbon
(1-hexylheptyl)benzene,260.46308,614.43,hydrocarbon
(1-methylenepropyl)benzene,132.20528,455.15,hydrocarbon
(1-methylheptyl)benzene,190.32868,523.94,hydrocarbon
(1-methylnonadecyl)benzene,358.65124,693.15,hydrocarbon
(1-methylnonyl)benzene,218.38244,562.65,hydrocarbon
(1-methylpentyl)benzene,162.27492,481.15,hydrocarbon
(1-octyldodecyl)benzene,358.65124,693.15,hydrocarbon
(1-propylheptadecyl)benzene,358.65124,693.15,hydrocarbon
(1-thiapropyl)-benzene,138.2334,478.15,hydrocarbon
(1S)-(-)-b-pinene,136.23704,439.15,hydrocarbon
"(2,4-dimethylpentyl)benzene",176.3018,492.16,hydrocarbon
(2-methyl-1-propenyl)benzene,132.20528,461.06,hydrocarbon
(3-chloropropyl)cyclohexane,160.68668,487.85,hydrocarbon
(3-methylpentyl)benzene,162.27492,493.15,hydrocarbon
(3-octylundecyl)benzene,344.62436,683.15,hydrocarbon
(4-methylpentyl)benzene,162.27492,490.15,hydrocarbon
(<+->)-2-chlorooctane,148.67568,445.2,hydrocarbon
"(E)-2,2,5,5-tetramethylhex-3-ene",140.2688,398.35,hydrocarbon
(R)-2-amino-6-methylheptane,129.2456,428.15,hydrocarbon
(R)-2-aminooctane,129.2456,437.15,hydrocarbon
(S)-(1-methylpropyl)benzene,134.22116,457.1,hydrocarbon
(S)-2-amino-6-methylheptane,129.2456,428.15,hydrocarbon
(S)-2-aminooctane,129.2456,437.15,hydrocarbon
(S)-2-chlorooctane,148.67568,442.45,hydrocarbon
"(Z,E)-1,3-cyclooctadiene",108.18328,406.55,hydrocarbon
(bromomethyl)benzene,171.03658,474.15,hydrocarbon
(fluoromethyl)benzene,110.1309832,413.15,hydrocarbon
(±)-a-pinene,136.23704,428.75,hydrocarbon
"1,1',1''-(1-ethanyl-2-ylidene)trisbenzene",258.36292,622,hydrocarbon
"1,1'-[methylenebis(thio)]bisethane",136.28228,426.65,hydrocarbon
"1,1,1,2,2,3-hexafluoropropane",152.0392992,274.35,hydrocarbon
"1,1,1,2,2-pentafluoropropane",134.048836,255.5,hydrocarbon
"1,1,1,2,3,3-hexafluoropropane",152.0392992,279.4,hydrocarbon
"1,1,1,2,3-pentafluoropropane",134.048836,270,hydrocarbon
"1,1,1,2-tetrabromoethane",345.65388,523.15,hydrocarbon
"1,1,1,2-tetrabromopropane",359.68076,523.15,hydrocarbon
"1,1,1,2-tetrachloro-2,2-difluoroethane",203.8296064,364.65,hydrocarbon
"1,1,1,2-tetrachloro-2-fluoroethane",185.8391432,390.15,hydrocarbon
"1,1,1,2-tetrachloroethane",167.84868,403.65,hydrocarbon
"1,1,1,2-tetrachloropropane",181.87556,423.15,hydrocarbon
"1,1,1,2-tetrafluoroethane",102.0314928,247.08,hydrocarbon
"1,1,1,2-tetrafluoropropane",116.0583728,272.15,hydrocarbon
"1,1,1,2-tetraiodoethane",533.65576,614.49,hydrocarbon
"1,1,1,2-tetraiodopropane",547.68264,636.93,hydrocarbon
"1,1,1,3,3,3-hexafluoropropane",152.0392992,272.45,hydrocarbon
"1,1,1,3,3-pentafluoropropane",134.048836,288.45,hydrocarbon
"1,1,1,3-tetrabromopropane",359.68076,533.15,hydrocarbon
"1,1,1,3-tetrachloropropane",181.87556,432.15,hydrocarbon
"1,1,1,3-tetrafluoropropane",116.0583728,302.55,hydrocarbon
"1,1,1,3-tetraiodopropane",547.68264,637.37,hydrocarbon
"1,1,1-tribromo-2-methylpropane",294.81158,485.73,hydrocarbon
"1,1,1-tribromobutane",294.81158,484.15,hydrocarbon
"1,1,1-tribromodecane",378.97286,585.15,hydrocarbon
"1,1,1-tribromododecane",407.02662,613.15,hydrocarbon
"1,1,1-tribromoeicosane",519.24166,708.15,hydrocarbon
"1,1,1-tribromoethane",266.75782,446.15,hydrocarbon
"1,1,1-tribromoheptadecane",477.16102,676.15,hydrocarbon
"1,1,1-tribromoheptane",336.89222,537.15,hydrocarbon
"1,1,1-tribromohexadecane",463.13414,664.15,hydrocarbon
"1,1,1-tribromohexane",322.86534,520.15,hydrocarbon
"1,1,1-tribromononadecane",505.21478,697.15,hydrocarbon
"1,1,1-tribromononane",364.94598,570.15,hydrocarbon
"1,1,1-tribromooctadecane",491.1879,687.15,hydrocarbon
"1,1,1-tribromooctane",350.9191,554.15,hydrocarbon
"1,1,1-tribromopentadecane",449.10726,652.15,hydrocarbon
"1,1,1-tribromopentane",308.83846,503.15,hydrocarbon
"1,1,1-tribromopropane",280.7847,465.15,hydrocarbon
"1,1,1-tribromotetradecane",435.08038,640.15,hydrocarbon
"1,1,1-tribromotridecane",421.0535,627.15,hydrocarbon
"1,1,1-tribromoundecane",392.99974,599.15,hydrocarbon
"1,1,1-trichloro-2,2,2-trifluoroethane",187.3753096,319.2,hydrocarbon
"1,1,1-trichloro-2,2-difluoroethane",169.3848464,346.15,hydrocarbon
"1,1,1-trichloro-2-fluoroethane",151.3943832,366,hydrocarbon
"1,1,1-trichloro-2-methylpropane",161.45768,415,hydrocarbon
"1,1,1-trichlorobutane",161.45768,407.15,hydrocarbon
"1,1,1-trichlorodecane",245.61896,535.15,hydrocarbon
"1,1,1-trichlorododecane",273.67272,570.15,hydrocarbon
"1,1,1-trichloroeicosane",385.88776,680.15,hydrocarbon
"1,1,1-trichloroethane",133.40392,347.23,hydrocarbon
"1,1,1-trichloroheptadecane",343.80712,643.15,hydrocarbon
"1,1,1-trichloroheptane",203.53832,476.15,hydrocarbon
"1,1,1-trichlorohexadecane",329.78024,630.15,hydrocarbon
"1,1,1-trichlorohexane",189.51144,454.15,hydrocarbon
